";ITEM  RASCH_FT_FCIP_EXAMPLE  Jul 17 2023 20:27"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
1,.761696,2,3500.000,1217.0000,.038729,.9972,-.1590,.9813,-.6590,.003989,.3857,1.0000,71.821,71.836,.3818,.4300,.761695,7231.5,2507.1,"0","R","K","MCQ_OP_01"
2,1.678361,2,3500.000,686.0000,.045393,1.0267,1.0410,1.0600,1.2211,.014763,.2915,1.0000,81.137,81.448,.3330,.3723,1.678357,3022.8,840.97,"0","R","K","MCQ_OP_02"
3,-.063428,2,3500.000,1799.0000,.037159,1.0004,.0310,1.0046,.2210,-.00573,.3935,1.0000,68.991,68.620,.3927,.4489,-.063428,9800.1,4233.4,"0","R","K","MCQ_OP_03"
4,-1.91566,2,3500.000,2923.0000,.048183,.9796,-.6890,.9710,-.5090,-.02895,.3073,1.0000,84.453,84.004,.3020,.3426,-1.91565,2335.7,650.09,"0","R","K","MCQ_OP_04"
5,-.030235,2,3500.000,1775.0000,.037150,.9969,-.2090,.9972,-.1190,-.00534,.3968,1.0000,68.877,68.589,.3929,.4482,-.030235,9824.4,4248.0,"0","R","K","MCQ_OP_05"
6,.874451,2,3500.000,1143.0000,.039247,.9982,-.0990,.9878,-.3990,.005306,.3788,1.0000,73.078,72.816,.3777,.4245,.874450,6615.8,2201.5,"0","R","K","MCQ_OP_06"
7,-1.13426,2,3500.000,2523.0000,.040796,1.0075,.3910,.9985,-.0290,-.01886,.3424,1.0000,75.679,75.553,.3554,.4103,-1.13426,5166.4,1618.1,"0","R","K","MCQ_OP_07"
8,.135746,2,3500.000,1655.0000,.037193,1.0038,.2710,1.0059,.2810,-.00336,.3886,1.0000,69.077,68.709,.3933,.4493,.135746,9749.4,4163.1,"0","R","K","MCQ_OP_08"
9,-.773742,2,3500.000,2296.0000,.038822,.9844,-.9290,1.0047,.1710,-.01437,.3794,1.0000,73.135,72.079,.3737,.4262,-.773741,7038.9,2479.6,"0","R","K","MCQ_OP_09"
10,-.804141,2,3500.000,2316.0000,.038958,1.0278,1.6210,1.0125,.4410,-.01472,.3497,1.0000,71.363,72.340,.3724,.4340,-.804140,6875.0,2395.2,"0","R","K","MCQ_OP_10"
