ITEM,CATEGORY,Rasch-Andrich threshold MEASURE
34,0,0
34,1,0
35,0,0
35,1,0
36,0,0
36,1,0
37,0,0
37,1,0
38,0,0
38,1,0
39,0,0
39,1,0
40,0,0
40,1,0
41,0,0
41,1,0
42,0,0
42,1,0
43,0,0
43,1,0
44,0,0
44,1,0
45,0,0
45,1,0
46,0,0
46,1,0
47,0,0
47,1,0
48,0,0
48,1,0
49,0,0
49,1,0
50,0,0
50,1,0
51,0,0
51,1,0
52,0,0
52,1,0
53,0,0
53,1,0
54,0,0
54,1,0
55,0,0
55,1,0
56,0,0
56,1,0
57,0,0
57,1,0
58,0,0
58,1,0
59,0,0
59,1,0
60,0,0
60,1,0
61,0,0
61,1,0
62,0,0
62,1,0
63,0,0
63,1,0
64,0,0
64,1,0
65,0,0
65,1,0
66,0,0
66,1,0
67,0,0
67,1,0
68,0,0
68,1,0
69,0,0
69,1,-0.78682
69,2,0.786822
70,0,0
70,1,-0.75318
70,2,0.753182
71,0,0
71,1,-0.39613
71,2,0.396126
72,0,0
72,1,0.022647
72,2,-0.02265
73,0,0
73,1,-0.73597
73,2,-0.34486
73,3,-0.29811
73,4,-0.02625
73,5,0.607837
73,6,0.79736
74,0,0
74,1,-1.2366
74,2,0.043175
74,3,0.120724
74,4,0.481825
74,5,-0.06227
74,6,0.653115
