";ITEM  RASCH_FT_MEAN_EXAMPLE  Jul 17 2023 20:32"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
1,.731320,1,3500.000,1217.0000,.038772,.9994,-.0290,.9845,-.5390,.000264,.3857,1.0000,71.821,71.914,.3830,.4300,.731319,7181.7,2473.1,"0","R","K","MCQ_OP_01"
2,1.660313,1,3500.000,686.0000,.045577,1.0349,1.3410,1.0733,1.4711,.000172,.2915,1.0000,81.080,81.623,.3331,.3722,1.660309,2974.2,819.63,"0","R","K","MCQ_OP_02"
3,-.104845,1,3500.000,1799.0000,.037189,1.0020,.1410,1.0067,.3110,.000273,.3935,1.0000,69.048,68.692,.3940,.4489,-.104845,9730.7,4189.8,"0","R","K","MCQ_OP_03"
4,-1.98192,1,3500.000,2923.0000,.048571,.9953,-.1490,.9926,-.1090,.000122,.3073,1.0000,84.396,84.310,.3008,.3425,-1.98191,2265.9,625.48,"0","R","K","MCQ_OP_04"
5,-.071210,1,3500.000,1775.0000,.037179,.9985,-.0990,.9993,-.0290,.000267,.3968,1.0000,68.705,68.658,.3943,.4482,-.071210,9756.8,4206.1,"0","R","K","MCQ_OP_05"
6,.845592,1,3500.000,1143.0000,.039299,1.0008,.0510,.9916,-.2690,.000251,.3788,1.0000,73.078,72.906,.3788,.4245,.845591,6564.8,2168.1,"0","R","K","MCQ_OP_06"
7,-1.18996,1,3500.000,2523.0000,.040950,1.0150,.7610,1.0091,.2710,.000145,.3424,1.0000,75.707,75.784,.3556,.4103,-1.18996,5064.1,1570.9,"0","R","K","MCQ_OP_07"
8,.096985,1,3500.000,1655.0000,.037217,1.0052,.3610,1.0078,.3610,.000284,.3886,1.0000,68.991,68.769,.3947,.4493,.096985,9691.6,4127.5,"0","R","K","MCQ_OP_08"
9,-.824616,1,3500.000,2296.0000,.038914,.9889,-.6490,1.0116,.4110,.000210,.3794,1.0000,73.135,72.249,.3744,.4262,-.824615,6932.8,2419.9,"0","R","K","MCQ_OP_09"
10,-.855421,1,3500.000,2316.0000,.039054,1.0330,1.9010,1.0194,.6710,.000197,.3497,1.0000,71.420,72.518,.3730,.4340,-.855420,6768.6,2336.2,"0","R","K","MCQ_OP_10"
11,-2.14949,1,3500.000,2990.0000,.050850,1.0053,.1710,1.0120,.2110,.000022,.2860,1.0000,85.596,85.980,.2878,.3288,-2.14948,1894.4,520.46,"0","R","K","MCQ_OP_11"
12,.774198,1,3500.000,1189.0000,.038960,1.0067,.4010,1.0295,1.0110,.000249,.3704,1.0000,72.049,72.267,.3815,.4295,.774197,6950.2,2355.4,"0","R","K","MCQ_OP_12"
13,-.781848,1,3500.000,2268.0000,.038729,.9822,-1.0590,.9856,-.4990,.000219,.3861,1.0000,72.592,71.898,.3762,.4268,-.781847,7160.5,2539.4,"0","R","K","MCQ_OP_13"
14,.853428,1,3500.000,1138.0000,.039338,.9986,-.0790,1.0181,.6010,.000251,.3773,1.0000,73.450,72.975,.3785,.4236,.853427,6522.5,2148.3,"0","R","K","MCQ_OP_14"
15,-.052998,1,3500.000,1762.0000,.037176,.9834,-1.1590,.9817,-.8390,.000265,.4068,1.0000,69.191,68.651,.3944,.4449,-.052998,9765.7,4210.4,"0","R","K","MCQ_OP_15"
16,-.706434,1,3500.000,2218.0000,.038429,1.0023,.1510,1.0203,.7610,.000207,.3755,1.0000,70.906,71.307,.3793,.4345,-.706433,7558.3,2757.9,"0","R","K","MCQ_OP_16"
17,-.083822,1,3500.000,1784.0000,.037182,1.0022,.1510,.9961,-.1690,.000265,.3937,1.0000,69.105,68.669,.3942,.4490,-.083822,9748.6,4201.2,"0","R","K","MCQ_OP_17"
18,-1.45334,1,3500.000,2671.0000,.042960,1.0035,.1610,1.0242,.5910,.000138,.3311,1.0000,78.737,78.598,.3391,.3889,-1.45334,3922.1,1151.8,"0","R","K","MCQ_OP_18"
19,-.881783,1,3500.000,2333.0000,.039178,1.0017,.1010,.9932,-.2190,.000192,.3686,1.0000,72.335,72.753,.3718,.4260,-.881782,6628.4,2266.1,"0","R","K","MCQ_OP_19"
20,.125081,1,3500.000,1635.0000,.037239,.9979,-.1390,.9833,-.7490,.000280,.3981,1.0000,68.105,68.813,.3947,.4474,.125081,9649.1,4089.6,"0","R","K","MCQ_OP_20"
21,-.275029,1,3500.000,1920.0000,.037337,.9892,-.7390,.9823,-.7790,.000247,.4058,1.0000,69.706,69.021,.3917,.4443,-.275029,9407.3,3956.7,"0","R","K","MCQ_OP_21"
22,.196907,1,3500.000,1584.0000,.037313,.9955,-.2990,1.0090,.4110,.000269,.3992,1.0000,68.763,68.981,.3943,.4459,.196906,9501.5,3964.8,"0","R","K","MCQ_OP_22"
23,1.040085,1,3500.000,1022.0000,.040384,.9875,-.6590,.9791,-.6090,.000253,.3821,1.0000,75.021,74.795,.3702,.4104,1.040084,5542.5,1719.4,"0","R","K","MCQ_OP_23"
24,1.264750,1,3500.000,891.0000,.041945,1.0104,.5010,1.0265,.6910,.000226,.3473,1.0000,76.622,77.193,.3583,.3997,1.264748,4472.2,1310.4,"0","R","K","MCQ_OP_24"
25,-.367217,1,3500.000,1985.0000,.037484,1.0232,1.5610,1.0359,1.5410,.000237,.3683,1.0000,68.219,69.340,.3899,.4500,-.367216,9113.0,3745.1,"0","R","K","MCQ_OP_25"
