"PERSON SCORE FILE FOR RASCH_RST_EXAMPLE","Nov 23 2024 10:48","USCALE=1.00"
"TABLE OF SAMPLE NORMS (500/100) AND FREQUENCIES CORRESPONDING TO COMPLETE TEST"
"SCORE","MEASURE","S.E.","INFO","NORMED","S.E.NORMED","FREQ","FREQ%","CUM.FREQ","CUMFREQ%","PERCENTILE","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
0,-5.20688,1.84295,.29,27,167,1,.0,1,.0,0,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
1,-3.95882,1.03094,.94,141,94,4,.1,5,.1,0,.01,.00,.02,.11,.02,.01,.06,.02,.04,.04,.13,.01,.04,.01,.02,.04,.02,.07,.04,.02,.02,.01,.01,.01,.03,.08,.05,.00,.01,.01,.03,.01,.01
2,-3.20304,.749965,1.78,210,68,13,.4,18,.5,0,.02,.01,.04,.22,.04,.02,.11,.03,.08,.08,.25,.02,.08,.02,.04,.07,.04,.14,.09,.03,.05,.03,.01,.01,.05,.15,.10,.01,.02,.01,.07,.03,.03
3,-2.73529,.628869,2.53,252,57,22,.6,40,1.1,1,.03,.01,.06,.31,.06,.03,.17,.05,.12,.13,.34,.03,.12,.03,.06,.11,.06,.21,.13,.05,.08,.05,.02,.02,.08,.22,.15,.01,.04,.02,.10,.05,.05
4,-2.38558,.558507,3.21,284,51,27,.8,67,1.9,2,.04,.02,.09,.38,.09,.04,.22,.07,.17,.17,.42,.04,.16,.04,.09,.15,.09,.27,.17,.07,.10,.07,.03,.02,.11,.28,.19,.02,.05,.03,.15,.07,.07
5,-2.10058,.511675,3.82,310,46,63,1.8,130,3.7,3,.05,.02,.12,.45,.11,.05,.28,.10,.21,.21,.50,.05,.20,.05,.11,.19,.11,.33,.22,.09,.13,.09,.04,.03,.14,.34,.24,.03,.07,.04,.19,.09,.09
6,-1.85646,.477973,4.38,332,43,67,1.9,197,5.6,5,.07,.03,.14,.51,.14,.06,.33,.12,.25,.26,.56,.07,.25,.06,.14,.23,.14,.39,.26,.12,.16,.11,.05,.04,.18,.40,.29,.03,.09,.05,.24,.12,.12
7,-1.64048,.452474,4.88,351,41,78,2.2,275,7.9,7,.08,.03,.17,.57,.17,.07,.38,.14,.30,.30,.61,.08,.29,.07,.16,.27,.17,.44,.31,.14,.20,.13,.06,.05,.21,.45,.34,.04,.11,.07,.28,.15,.15
8,-1.44499,.432505,5.35,369,39,108,3.1,383,10.9,9,.10,.04,.20,.62,.20,.09,.42,.17,.34,.35,.65,.10,.33,.09,.19,.31,.20,.49,.35,.17,.23,.16,.08,.06,.25,.50,.38,.05,.13,.08,.34,.18,.18
9,-1.26501,.416486,5.77,386,38,111,3.2,494,14.1,13,.12,.05,.23,.66,.23,.11,.47,.20,.38,.39,.69,.11,.37,.10,.22,.35,.23,.53,.39,.19,.26,.18,.09,.07,.28,.55,.43,.06,.15,.09,.39,.22,.21
10,-1.09712,.403413,6.14,401,37,122,3.5,616,17.6,16,.13,.06,.26,.69,.26,.12,.51,.23,.42,.43,.73,.13,.41,.12,.25,.39,.26,.57,.43,.22,.30,.21,.10,.08,.32,.59,.47,.07,.17,.11,.45,.26,.25
11,-.938817,.392623,6.49,415,36,132,3.8,748,21.4,19,.15,.07,.29,.73,.29,.14,.55,.25,.46,.47,.76,.15,.45,.14,.28,.43,.29,.61,.47,.25,.33,.24,.12,.10,.35,.63,.51,.08,.19,.12,.51,.30,.30
12,-.788264,.383656,6.79,429,35,144,4.1,892,25.5,23,.18,.08,.33,.76,.32,.16,.59,.28,.50,.50,.78,.17,.49,.16,.32,.47,.32,.65,.51,.28,.36,.26,.14,.11,.39,.66,.54,.09,.22,.14,.57,.35,.34
13,-.644006,.376190,7.07,442,34,157,4.5,1049,30.0,28,.20,.09,.36,.78,.35,.18,.62,.31,.53,.54,.81,.19,.52,.18,.35,.50,.35,.68,.55,.31,.40,.29,.15,.13,.42,.69,.58,.10,.24,.16,.63,.40,.40
14,-.504881,.369990,7.30,455,34,156,4.5,1205,34.4,32,.22,.10,.39,.80,.38,.20,.65,.35,.57,.57,.83,.21,.56,.20,.38,.54,.39,.71,.58,.34,.43,.32,.17,.14,.45,.72,.61,.12,.27,.18,.69,.45,.46
15,-.369933,.364892,7.51,467,33,146,4.2,1351,38.6,37,.24,.11,.42,.82,.42,.22,.68,.38,.60,.61,.85,.24,.59,.22,.41,.57,.42,.74,.61,.37,.47,.35,.19,.16,.49,.75,.65,.13,.30,.20,.76,.51,.52
16,-.238337,.360775,7.68,479,33,190,5.4,1541,44.0,41,.27,.13,.46,.84,.45,.25,.71,.41,.63,.64,.86,.26,.62,.25,.44,.60,.45,.76,.64,.40,.50,.38,.21,.18,.52,.77,.67,.15,.33,.22,.82,.58,.59
17,-.109386,.357556,7.82,491,32,152,4.3,1693,48.4,46,.30,.14,.49,.86,.48,.27,.74,.44,.66,.67,.88,.29,.65,.27,.48,.63,.48,.78,.67,.43,.53,.41,.24,.20,.55,.79,.70,.17,.36,.24,.89,.64,.67
18,.017561,.355183,7.93,502,32,146,4.2,1839,52.5,50,.32,.16,.52,.87,.51,.30,.76,.47,.69,.69,.89,.31,.68,.30,.51,.66,.52,.80,.70,.46,.56,.45,.26,.22,.58,.81,.73,.18,.39,.27,.95,.71,.76
19,.143118,.353627,8.00,514,32,164,4.7,2003,57.2,55,.35,.18,.55,.89,.54,.32,.78,.50,.71,.72,.90,.34,.71,.32,.54,.69,.55,.82,.73,.49,.59,.48,.28,.24,.61,.83,.75,.20,.42,.29,1.02,.78,.85
20,.267859,.352880,8.03,525,32,161,4.6,2164,61.8,60,.38,.20,.58,.90,.57,.35,.80,.53,.74,.74,.91,.37,.73,.35,.57,.72,.58,.84,.75,.53,.62,.51,.31,.26,.64,.85,.77,.23,.45,.32,1.08,.86,.95
