"PROBABILITY CURVES FOR RASCH_RST_EXAMPLE Nov 23 2024 10:48"
"ITEM","MEASURE","SCORE","INFORMATION",0,1,2,3,4,5,6
1,-5.000000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.990000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.980000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.970000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.960000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.950000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.940000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.930000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.920000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.910000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.900000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.890000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.880000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.870000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.860000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.850000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.840000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.830000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.820000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.810000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.800000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.790000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.780000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.770000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.760000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.750000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.740000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.730000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.720000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.710000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.700000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.690000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.680000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.670000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.660000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.650000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.640000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.630000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.620000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.610000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.600000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.590000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.580000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.570000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.560000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.550000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.540000,.01,.01,.99,.01,.00,.00,.00,.00,.00
1,-4.530000,.01,.01,.99,.01,.00,.00,.00,.00,.00
