";PERSON  RASCH_RST_EXAMPLE  Nov 23 2024 10:48"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","NAME"
1,-1.44679,1,33.0000,8.0000,.432676,.9319,-.1891,.7223,-.6993,.001734,.0000,1.0000,72.727,77.616,.0000,.3884,-1.40558,30.49,14.45,"SMc12134vL"
2,-2.10236,1,33.0000,5.0000,.511942,1.1132,.4411,.9604,.1110,.001729,.0000,1.0000,84.848,84.927,.0000,.3588,-2.02571,17.47,6.67,"SFc13557uX"
3,-2.38744,1,33.0000,4.0000,.558841,1.0069,.1510,.7964,-.1292,.001804,.0000,1.0000,87.879,87.931,.0000,.3126,-2.28681,13.14,4.84,"SFc15276jO"
4,-.646032,1,33.0000,13.0000,.376287,.7184,-1.4193,.7038,-1.3693,.001980,.0000,1.0000,84.848,69.088,.0000,.3921,-.627911,45.19,38.26,"SMc19352hW"
5,.140865,1,33.0000,19.0000,.353648,1.1179,.6111,1.0862,.4911,.002249,.0000,1.0000,57.576,65.786,.0000,.5205,.144164,46.11,52.33,"SFc14952vV"
6,2.878170,1,33.0000,36.0000,.548717,.5750,-.6494,.4940,-.3895,.001920,.0000,1.0000,93.939,90.731,.0000,.2406,2.778049,5.64,2.42,"SFc19008aT"
7,-.646032,1,33.0000,13.0000,.376287,1.0360,.2410,.9995,.0710,.001980,.0000,1.0000,60.606,69.088,.0000,.4709,-.627911,45.19,38.26,"SFc11565zJ"
8,-.790241,1,33.0000,12.0000,.383766,1.0246,.1810,1.0192,.1610,.001926,.0000,1.0000,66.667,69.881,.0000,.4591,-.768896,43.24,32.49,"SFc19363nD"
9,-.506953,1,33.0000,14.0000,.370075,.9065,-.3991,.8790,-.5191,.002034,.0000,1.0000,63.636,68.482,.0000,.4479,-.491707,46.62,44.03,"SMc16594bG"
10,-.940745,1,33.0000,11.0000,.392746,1.2624,1.1713,1.0742,.3611,.001872,.0000,1.0000,63.636,71.278,.0000,.4980,-.915696,40.78,27.09,"SFc14730mN"
11,-.506953,1,33.0000,14.0000,.370075,1.0963,.5211,.9811,-.0190,.002034,.0000,1.0000,63.636,68.482,.0000,.4925,-.491707,46.62,44.03,"SFc16786tX"
12,.897913,1,33.0000,25.0000,.362230,1.0574,.3011,.9959,.0810,.002410,.0000,1.0000,63.636,69.230,.0000,.4942,.885870,29.15,24.09,"SFc18284lV"
13,.265579,1,33.0000,20.0000,.352886,1.1483,.7411,1.2881,1.3713,.002282,.0000,1.0000,66.667,66.368,.0000,.5286,.266586,44.40,48.34,"SMc12463tZ"
14,-.646032,1,33.0000,13.0000,.376287,1.0358,.2410,1.0020,.0810,.001980,.0000,1.0000,60.606,69.088,.0000,.4708,-.627911,45.19,38.26,"SFc14842vB"
15,1.167991,1,33.0000,27.0000,.373400,.9030,-.2291,.8835,-.2391,.002458,.0000,1.0000,69.697,71.713,.0000,.4430,1.149541,22.15,17.13,"SMc17646dZ"
16,.140865,1,33.0000,19.0000,.353648,.7375,-1.3193,.8158,-.9392,.002249,.0000,1.0000,69.697,65.786,.0000,.4227,.144164,46.11,52.33,"SMc13902cJ"
17,.390056,1,33.0000,21.0000,.352944,1.0166,.1510,.9525,-.1490,.002311,.0000,1.0000,63.636,66.994,.0000,.4973,.388707,42.15,43.42,"SFc16079sT"
18,1.167991,1,33.0000,27.0000,.373400,.8470,-.4392,.8716,-.2791,.002458,.0000,1.0000,75.758,71.713,.0000,.4291,1.149541,22.15,17.13,"SFc19147pD"
19,-.646032,1,33.0000,13.0000,.376287,1.2164,1.0312,1.4831,1.9215,.001980,.0000,1.0000,60.606,69.088,.0000,.5102,-.627911,45.19,38.26,"SFc11509nG"
20,.768115,1,33.0000,24.0000,.358420,.8144,-.7192,.9999,.0910,.002387,.0000,1.0000,66.667,68.530,.0000,.4383,.758987,32.76,28.34,"SMc14803uW"
21,1.615549,1,33.0000,30.0000,.401151,.9318,-.0591,1.5937,1.2716,.002504,.0000,1.0000,81.818,78.477,.0000,.4189,1.585867,13.95,9.90,"SFc18949hO"
22,1.030896,1,33.0000,26.0000,.367184,.7991,-.6792,.8646,-.3491,.002434,.0000,1.0000,69.697,70.355,.0000,.4238,1.015748,25.56,20.36,"SMc12927eB"
23,-3.20535,1,33.0000,2.0000,.750652,1.1034,.3711,.9504,.2810,.002264,.0000,1.0000,93.939,93.959,.0000,.2436,-2.98230,5.42,2.01,"SFc15851oN"
24,-.240492,1,33.0000,16.0000,.360835,1.2996,1.4113,1.2591,1.3013,.002131,.0000,1.0000,54.545,65.674,.0000,.5500,-.230317,47.97,53.08,"SMc14210oE"
25,.015338,1,33.0000,18.0000,.355218,1.2706,1.2813,.9085,-.4291,.002214,.0000,1.0000,78.788,65.458,.0000,.5524,.020901,47.27,54.73,"SMc18620pY"
26,1.167991,1,33.0000,27.0000,.373400,.9613,-.0290,.9341,-.0791,.002458,.0000,1.0000,75.758,71.713,.0000,.4571,1.149541,22.15,17.13,"SMc15607rC"
27,.640683,1,33.0000,23.0000,.355655,.7681,-.9992,.6702,-1.4393,.002362,.0000,1.0000,72.727,68.092,.0000,.4290,.634294,36.23,33.08,"SMc14072wQ"
28,-1.26684,1,33.0000,9.0000,.416638,.9339,-.1991,.9338,-.0891,.001773,.0000,1.0000,78.788,75.616,.0000,.4038,-1.23218,34.35,18.05,"SFc17852dD"
29,-1.85822,1,33.0000,6.0000,.478197,.9832,.0410,1.2584,.6613,.001703,.0000,1.0000,81.818,82.356,.0000,.3610,-1.79740,21.91,8.83,"SFc16093oU"
30,.140865,1,33.0000,19.0000,.353648,1.0178,.1510,.9389,-.2491,.002249,.0000,1.0000,63.636,65.786,.0000,.4966,.144164,46.11,52.33,"SMc19591dG"
31,-1.44679,1,33.0000,8.0000,.432676,.8901,-.3591,.7017,-.7693,.001734,.0000,1.0000,78.788,77.616,.0000,.3796,-1.40558,30.49,14.45,"SMc12589gH"
32,.640683,1,33.0000,23.0000,.355655,1.1343,.6311,.8854,-.3991,.002362,.0000,1.0000,63.636,68.092,.0000,.5213,.634294,36.23,33.08,"SMc11789iT"
33,1.310269,1,33.0000,28.0000,.381019,.7744,-.6492,1.1192,.4311,.002480,.0000,1.0000,84.848,73.845,.0000,.4021,1.288313,19.02,14.35,"SFc11606oQ"
34,-1.44679,1,33.0000,8.0000,.432676,.8688,-.4491,.7570,-.5892,.001734,.0000,1.0000,78.788,77.616,.0000,.3750,-1.40558,30.49,14.45,"SFc18504nG"
35,1.030896,1,33.0000,26.0000,.367184,1.1234,.5211,1.0065,.1310,.002434,.0000,1.0000,57.576,70.355,.0000,.5025,1.015748,25.56,20.36,"SFc15276wP"
36,-.240492,1,33.0000,16.0000,.360835,.8663,-.6191,.9502,-.1990,.002131,.0000,1.0000,78.788,65.674,.0000,.4490,-.230317,47.97,53.08,"SFc19457gA"
37,1.030896,1,33.0000,26.0000,.367184,1.1203,.5111,1.1282,.5011,.002434,.0000,1.0000,57.576,70.355,.0000,.5018,1.015748,25.56,20.36,"SFc17330dI"
38,1.167991,1,33.0000,27.0000,.373400,.6949,-1.0393,.7006,-.8693,.002458,.0000,1.0000,75.758,71.713,.0000,.3886,1.149541,22.15,17.13,"SFc13792pY"
39,-2.38744,1,33.0000,4.0000,.558841,1.0321,.2110,.9897,.2010,.001804,.0000,1.0000,87.879,87.931,.0000,.3165,-2.28681,13.14,4.84,"SMc16924hS"
40,-.790241,1,33.0000,12.0000,.383766,1.3341,1.4813,1.2861,1.1413,.001926,.0000,1.0000,66.667,69.881,.0000,.5239,-.768896,43.24,32.49,"SMc13790jP"
41,-.111580,1,33.0000,17.0000,.357604,.8495,-.7092,.9938,.0310,.002175,.0000,1.0000,78.788,65.460,.0000,.4487,-.103741,47.88,55.03,"SMc15047fT"
42,-.240492,1,33.0000,16.0000,.360835,.7522,-1.2592,.7433,-1.3893,.002131,.0000,1.0000,72.727,65.674,.0000,.4184,-.230317,47.97,53.08,"SFc14140rL"
43,-3.20535,1,33.0000,2.0000,.750652,1.1623,.4612,1.4926,.7615,.002264,.0000,1.0000,93.939,93.959,.0000,.2500,-2.98230,5.42,2.01,"SFc18528uV"
44,2.878170,1,33.0000,36.0000,.548717,.5530,-.6994,.4532,-.4595,.001920,.0000,1.0000,93.939,90.731,.0000,.2359,2.778049,5.64,2.42,"SMc11403pU"
45,-.506953,1,33.0000,14.0000,.370075,.7756,-1.1092,.8639,-.5991,.002034,.0000,1.0000,81.818,68.482,.0000,.4143,-.491707,46.62,44.03,"SMc17533hK"
46,.265579,1,33.0000,20.0000,.352886,.7851,-1.0192,.7345,-1.3693,.002282,.0000,1.0000,72.727,66.368,.0000,.4371,.266586,44.40,48.34,"SFc16979vB"
47,-.790241,1,33.0000,12.0000,.383766,1.2143,1.0012,1.5150,1.8815,.001926,.0000,1.0000,60.606,69.881,.0000,.4998,-.768896,43.24,32.49,"SMc18236fJ"
48,.265579,1,33.0000,20.0000,.352886,1.0332,.2310,.9248,-.3091,.002282,.0000,1.0000,66.667,66.368,.0000,.5014,.266586,44.40,48.34,"SMc13165iX"
49,-.790241,1,33.0000,12.0000,.383766,.8025,-.9092,.7802,-.8792,.001926,.0000,1.0000,72.727,69.881,.0000,.4063,-.768896,43.24,32.49,"SMc17994fP"
50,.897913,1,33.0000,25.0000,.362230,1.1014,.4611,.9303,-.1491,.002410,.0000,1.0000,75.758,69.230,.0000,.5043,.885870,29.15,24.09,"SMc11720nL"
51,1.030896,1,33.0000,26.0000,.367184,1.0999,.4411,.7932,-.6092,.002434,.0000,1.0000,69.697,70.355,.0000,.4972,1.015748,25.56,20.36,"SMc18720wT"
52,-1.09899,1,33.0000,10.0000,.403550,1.1008,.5011,1.1813,.6712,.001819,.0000,1.0000,72.727,73.663,.0000,.4526,-1.06958,37.80,22.26,"SFc11725pZ"
53,.390056,1,33.0000,21.0000,.352944,.7103,-1.4093,.6934,-1.5293,.002311,.0000,1.0000,75.758,66.994,.0000,.4157,.388707,42.15,43.42,"SFc12704dE"
54,.140865,1,33.0000,19.0000,.353648,1.0645,.3711,1.1406,.7511,.002249,.0000,1.0000,69.697,65.786,.0000,.5079,.144164,46.11,52.33,"SFc17488sA"
55,.265579,1,33.0000,20.0000,.352886,1.0720,.4011,1.0223,.1810,.002282,.0000,1.0000,60.606,66.368,.0000,.5107,.266586,44.40,48.34,"SMc16393cD"
56,1.167991,1,33.0000,27.0000,.373400,.7539,-.7992,.6272,-1.1494,.002458,.0000,1.0000,75.758,71.713,.0000,.4048,1.149541,22.15,17.13,"SMc12446xK"
57,-.240492,1,33.0000,16.0000,.360835,1.1869,.9312,1.0971,.5511,.002131,.0000,1.0000,60.606,65.674,.0000,.5256,-.230317,47.97,53.08,"SFc11831oZ"
58,.768115,1,33.0000,24.0000,.358420,.8767,-.4391,.8828,-.3691,.002387,.0000,1.0000,60.606,68.530,.0000,.4547,.758987,32.76,28.34,"SFc12761pW"
59,-.506953,1,33.0000,14.0000,.370075,.8814,-.5291,.8984,-.4191,.002034,.0000,1.0000,69.697,68.482,.0000,.4416,-.491707,46.62,44.03,"SMc19593eD"
60,1.458968,1,33.0000,29.0000,.390201,.7511,-.6592,.7790,-.4492,.002497,.0000,1.0000,72.727,76.434,.0000,.3866,1.433289,16.28,11.95,"SMc18096kW"
61,-.372045,1,33.0000,15.0000,.364965,.9224,-.3191,.8847,-.5291,.002084,.0000,1.0000,66.667,66.025,.0000,.4581,-.359422,47.55,49.21,"SMc15017qU"
62,-.111580,1,33.0000,17.0000,.357604,.6763,-1.7293,.7273,-1.5193,.002175,.0000,1.0000,78.788,65.460,.0000,.4003,-.103741,47.88,55.03,"SMc19161tK"
63,-1.64225,1,33.0000,7.0000,.452667,1.0498,.2710,1.0637,.2911,.001708,.0000,1.0000,78.788,80.015,.0000,.3940,-1.59266,26.30,11.40,"SMc13755bW"
64,-1.26684,1,33.0000,9.0000,.416638,.8250,-.6892,.7780,-.6092,.001773,.0000,1.0000,78.788,75.616,.0000,.3795,-1.23218,34.35,18.05,"SFc14787rZ"
65,.140865,1,33.0000,19.0000,.353648,.9768,-.0390,.8828,-.5591,.002249,.0000,1.0000,63.636,65.786,.0000,.4865,.144164,46.11,52.33,"SFc17484cU"
66,.015338,1,33.0000,18.0000,.355218,.7716,-1.1392,.7406,-1.4293,.002214,.0000,1.0000,69.697,65.458,.0000,.4305,.020901,47.27,54.73,"SMc11020dK"
67,-.506953,1,33.0000,14.0000,.370075,.9972,.0610,1.0781,.4311,.002034,.0000,1.0000,63.636,68.482,.0000,.4697,-.491707,46.62,44.03,"SMc12070vB"
68,-.506953,1,33.0000,14.0000,.370075,1.1375,.7011,.9990,.0710,.002034,.0000,1.0000,66.667,68.482,.0000,.5017,-.491707,46.62,44.03,"SFc12394oD"
69,.514885,1,33.0000,22.0000,.353851,.8427,-.6592,.6766,-1.5193,.002338,.0000,1.0000,75.758,67.537,.0000,.4516,.511081,39.40,38.19,"SFc19029dD"
70,1.959821,1,33.0000,32.0000,.429654,.8806,-.1391,1.3929,.8214,.002458,.0000,1.0000,84.848,82.894,.0000,.3802,1.920358,10.47,6.63,"SMc18574oC"
71,-.240492,1,33.0000,16.0000,.360835,.9241,-.3091,.9826,-.0290,.002131,.0000,1.0000,66.667,65.674,.0000,.4637,-.230317,47.97,53.08,"SFc14075qA"
72,1.959821,1,33.0000,32.0000,.429654,1.5812,1.2816,1.1888,.5112,.002458,.0000,1.0000,75.758,82.894,.0000,.5095,1.920358,10.47,6.63,"SFc17427xX"
73,.897913,1,33.0000,25.0000,.362230,.9062,-.2791,1.0020,.1010,.002410,.0000,1.0000,69.697,69.230,.0000,.4575,.885870,29.15,24.09,"SMc18922tZ"
74,-.940745,1,33.0000,11.0000,.392746,1.0749,.4011,1.0601,.3111,.001872,.0000,1.0000,69.697,71.278,.0000,.4595,-.915696,40.78,27.09,"SMc12412kD"
75,-.506953,1,33.0000,14.0000,.370075,1.4183,1.8614,1.5212,2.1815,.002034,.0000,1.0000,51.515,68.482,.0000,.5602,-.491707,46.62,44.03,"SFc12363dW"
