"TCC + TIF CURVES FOR RASCH_RST_EXAMPLE Nov 23 2024 08:15"
"MEASURE","SCORE","INFORMATION","S.E.M.",0,1,2,3,4,5,6
-7.000000,.050724,.050562,4.447208,32.949276,.050722,.000001,.000000,.000000,.000000,.000000
-6.986000,.051437,.051270,4.416385,32.948566,.051435,.000001,.000000,.000000,.000000,.000000
-6.972000,.052160,.051988,4.385778,32.947838,.052157,.000001,.000000,.000000,.000000,.000000
-6.958000,.052893,.052716,4.355387,32.947113,.052890,.000001,.000000,.000000,.000000,.000000
-6.944000,.053636,.053455,4.325207,32.946369,.053633,.000001,.000000,.000000,.000000,.000000
-6.930000,.054390,.054203,4.295241,32.945618,.054387,.000001,.000000,.000000,.000000,.000000
-6.916000,.055154,.054962,4.265485,32.944847,.055151,.000001,.000000,.000000,.000000,.000000
-6.902000,.055929,.055731,4.235939,32.944077,.055926,.000001,.000000,.000000,.000000,.000000
-6.888000,.056714,.056512,4.206599,32.943287,.056711,.000002,.000000,.000000,.000000,.000000
-6.874000,.057511,.057303,4.177466,32.942486,.057508,.000002,.000000,.000000,.000000,.000000
-6.860000,.058319,.058105,4.148537,32.941685,.058316,.000002,.000000,.000000,.000000,.000000
-6.846000,.059138,.058918,4.119812,32.940861,.059135,.000002,.000000,.000000,.000000,.000000
-6.832000,.059969,.059742,4.091288,32.940033,.059965,.000002,.000000,.000000,.000000,.000000
-6.818000,.060811,.060578,4.062964,32.939194,.060807,.000002,.000000,.000000,.000000,.000000
-6.804000,.061665,.061425,4.034841,32.938339,.061661,.000002,.000000,.000000,.000000,.000000
-6.790000,.062531,.062284,4.006915,32.937469,.062527,.000002,.000000,.000000,.000000,.000000
-6.776000,.063409,.063156,3.979185,32.936596,.063405,.000002,.000000,.000000,.000000,.000000
-6.762000,.064299,.064039,3.951649,32.935699,.064295,.000002,.000000,.000000,.000000,.000000
-6.748000,.065202,.064934,3.924308,32.934799,.065198,.000002,.000000,.000000,.000000,.000000
-6.734000,.066117,.065842,3.897159,32.933884,.066113,.000002,.000000,.000000,.000000,.000000
-6.720000,.067046,.066763,3.870200,32.932953,.067041,.000002,.000000,.000000,.000000,.000000
-6.706000,.067987,.067696,3.843431,32.932018,.067982,.000002,.000000,.000000,.000000,.000000
-6.692000,.068941,.068642,3.816851,32.931057,.068937,.000002,.000000,.000000,.000000,.000000
-6.678000,.069909,.069601,3.790458,32.930092,.069904,.000002,.000000,.000000,.000000,.000000
-6.664000,.070890,.070574,3.764250,32.929108,.070885,.000002,.000000,.000000,.000000,.000000
-6.650000,.071885,.071560,3.738227,32.928116,.071880,.000002,.000000,.000000,.000000,.000000
-6.636000,.072894,.072559,3.712387,32.927105,.072889,.000003,.000000,.000000,.000000,.000000
-6.622000,.073917,.073573,3.686729,32.926090,.073911,.000003,.000000,.000000,.000000,.000000
-6.608000,.074954,.074600,3.661251,32.925049,.074949,.000003,.000000,.000000,.000000,.000000
-6.594000,.076006,.075642,3.635953,32.923992,.076000,.000003,.000000,.000000,.000000,.000000
-6.580000,.077072,.076698,3.610833,32.922932,.077066,.000003,.000000,.000000,.000000,.000000
-6.566000,.078153,.077769,3.585891,32.921848,.078147,.000003,.000000,.000000,.000000,.000000
-6.552000,.079249,.078854,3.561123,32.920753,.079244,.000003,.000000,.000000,.000000,.000000
-6.538000,.080361,.079955,3.536530,32.919640,.080355,.000003,.000000,.000000,.000000,.000000
-6.524000,.081488,.081071,3.512110,32.918518,.081482,.000003,.000000,.000000,.000000,.000000
-6.510000,.082631,.082202,3.487863,32.917370,.082625,.000003,.000000,.000000,.000000,.000000
-6.496000,.083790,.083349,3.463785,32.916214,.083783,.000003,.000000,.000000,.000000,.000000
-6.482000,.084965,.084511,3.439878,32.915039,.084958,.000003,.000000,.000000,.000000,.000000
-6.468000,.086156,.085690,3.416140,32.913849,.086149,.000004,.000000,.000000,.000000,.000000
-6.454000,.087364,.086885,3.392568,32.912640,.087357,.000004,.000000,.000000,.000000,.000000
-6.440000,.088589,.088096,3.369164,32.911415,.088582,.000004,.000000,.000000,.000000,.000000
-6.426000,.089831,.089324,3.345924,32.910168,.089823,.000004,.000000,.000000,.000000,.000000
-6.412000,.091090,.090569,3.322848,32.908916,.091082,.000004,.000000,.000000,.000000,.000000
-6.398000,.092367,.091831,3.299934,32.907635,.092359,.000004,.000000,.000000,.000000,.000000
-6.384000,.093662,.093111,3.277183,32.906342,.093653,.000004,.000000,.000000,.000000,.000000
-6.370000,.094974,.094408,3.254592,32.905029,.094966,.000004,.000000,.000000,.000000,.000000
-6.356000,.096305,.095723,3.232161,32.903698,.096296,.000004,.000000,.000000,.000000,.000000
-6.342000,.097655,.097056,3.209887,32.902351,.097646,.000005,.000000,.000000,.000000,.000000
-6.328000,.099023,.098407,3.187772,32.900986,.099014,.000005,.000000,.000000,.000000,.000000
-6.314000,.100410,.099777,3.165812,32.899590,.100401,.000005,.000000,.000000,.000000,.000000
-6.300000,.101817,.101166,3.144007,32.898186,.101807,.000005,.000000,.000000,.000000,.000000
-6.286000,.103243,.102573,3.122356,32.896759,.103233,.000005,.000000,.000000,.000000,.000000
-6.272000,.104689,.104001,3.100857,32.895317,.104678,.000005,.000000,.000000,.000000,.000000
-6.258000,.106155,.105447,3.079512,32.893852,.106144,.000005,.000000,.000000,.000000,.000000
-6.244000,.107642,.106914,3.058317,32.892368,.107630,.000006,.000000,.000000,.000000,.000000
-6.230000,.109149,.108401,3.037272,32.890858,.109137,.000006,.000000,.000000,.000000,.000000
-6.216000,.110677,.109908,3.016376,32.889328,.110665,.000006,.000000,.000000,.000000,.000000
-6.202000,.112226,.111436,2.995627,32.887779,.112214,.000006,.000000,.000000,.000000,.000000
-6.188000,.113797,.112984,2.975025,32.886208,.113785,.000006,.000000,.000000,.000000,.000000
-6.174000,.115390,.114554,2.954568,32.884617,.115377,.000006,.000000,.000000,.000000,.000000
-6.160000,.117005,.116146,2.934257,32.883003,.116992,.000007,.000000,.000000,.000000,.000000
-6.146000,.118642,.117759,2.914089,32.881363,.118629,.000007,.000000,.000000,.000000,.000000
-6.132000,.120302,.119394,2.894064,32.879711,.120288,.000007,.000000,.000000,.000000,.000000
-6.118000,.121985,.121052,2.874181,32.878021,.121971,.000007,.000000,.000000,.000000,.000000
-6.104000,.123692,.122732,2.854438,32.876312,.123677,.000007,.000000,.000000,.000000,.000000
-6.090000,.125422,.124435,2.834836,32.874584,.125407,.000008,.000000,.000000,.000000,.000000
-6.076000,.127176,.126162,2.815372,32.872833,.127161,.000008,.000000,.000000,.000000,.000000
-6.062000,.128955,.127912,2.796045,32.871048,.128939,.000008,.000000,.000000,.000000,.000000
-6.048000,.130758,.129686,2.776856,32.869251,.130741,.000008,.000000,.000000,.000000,.000000
-6.034000,.132586,.131484,2.757804,32.867420,.132569,.000008,.000000,.000000,.000000,.000000
-6.020000,.134439,.133307,2.738886,32.865570,.134422,.000009,.000000,.000000,.000000,.000000
-6.006000,.136318,.135154,2.720102,32.863693,.136301,.000009,.000000,.000000,.000000,.000000
-5.992000,.138224,.137027,2.701452,32.861786,.138205,.000009,.000000,.000000,.000000,.000000
-5.978000,.140155,.138925,2.682933,32.859852,.140137,.000009,.000000,.000000,.000000,.000000
-5.964000,.142114,.140849,2.664546,32.857899,.142094,.000010,.000000,.000000,.000000,.000000
-5.950000,.144099,.142799,2.646290,32.855911,.144079,.000010,.000000,.000000,.000000,.000000
-5.936000,.146112,.144776,2.628163,32.853897,.146092,.000010,.000000,.000000,.000000,.000000
-5.922000,.148153,.146779,2.610165,32.851860,.148132,.000010,.000000,.000000,.000000,.000000
-5.908000,.150222,.148810,2.592295,32.849789,.150201,.000011,.000000,.000000,.000000,.000000
-5.894000,.152320,.150868,2.574552,32.847691,.152298,.000011,.000000,.000000,.000000,.000000
-5.880000,.154447,.152954,2.556935,32.845570,.154424,.000011,.000000,.000000,.000000,.000000
-5.866000,.156603,.155068,2.539443,32.843410,.156579,.000012,.000000,.000000,.000000,.000000
-5.852000,.158789,.157211,2.522075,32.841225,.158764,.000012,.000000,.000000,.000000,.000000
-5.838000,.161005,.159383,2.504831,32.839008,.160980,.000012,.000000,.000000,.000000,.000000
-5.824000,.163252,.161585,2.487709,32.836761,.163226,.000013,.000000,.000000,.000000,.000000
-5.810000,.165529,.163816,2.470710,32.834488,.165503,.000013,.000000,.000000,.000000,.000000
-5.796000,.167839,.166077,2.453831,32.832176,.167812,.000013,.000000,.000000,.000000,.000000
-5.782000,.170180,.168369,2.437073,32.829834,.170152,.000014,.000000,.000000,.000000,.000000
-5.768000,.172553,.170692,2.420434,32.827461,.172524,.000014,.000000,.000000,.000000,.000000
-5.754000,.174959,.173046,2.403912,32.825054,.174930,.000015,.000000,.000000,.000000,.000000
-5.740000,.177398,.175432,2.387509,32.822617,.177368,.000015,.000000,.000000,.000000,.000000
-5.726000,.179871,.177850,2.371223,32.820145,.179840,.000016,.000000,.000000,.000000,.000000
-5.712000,.182378,.180301,2.355053,32.817635,.182347,.000016,.000000,.000000,.000000,.000000
-5.698000,.184920,.182785,2.338999,32.815098,.184887,.000016,.000000,.000000,.000000,.000000
-5.684000,.187497,.185302,2.323059,32.812523,.187463,.000017,.000000,.000000,.000000,.000000
-5.670000,.190109,.187853,2.307232,32.809906,.190074,.000017,.000000,.000000,.000000,.000000
-5.656000,.192757,.190438,2.291519,32.807262,.192721,.000018,.000000,.000000,.000000,.000000
-5.642000,.195441,.193058,2.275918,32.804577,.195404,.000018,.000000,.000000,.000000,.000000
-5.628000,.198162,.195713,2.260428,32.801861,.198125,.000019,.000000,.000000,.000000,.000000
-5.614000,.200921,.198403,2.245048,32.799095,.200882,.000019,.000000,.000000,.000000,.000000
-5.600000,.203718,.201130,2.229779,32.796303,.203678,.000020,.000000,.000000,.000000,.000000
-5.586000,.206553,.203893,2.214619,32.793468,.206512,.000021,.000000,.000000,.000000,.000000
-5.572000,.209427,.206693,2.199567,32.790592,.209385,.000021,.000000,.000000,.000000,.000000
-5.558000,.212340,.209530,2.184623,32.787682,.212297,.000022,.000000,.000000,.000000,.000000
-5.544000,.215294,.212406,2.169786,32.784729,.215249,.000022,.000000,.000000,.000000,.000000
-5.530000,.218288,.215320,2.155054,32.781734,.218242,.000023,.000000,.000000,.000000,.000000
-5.516000,.221323,.218272,2.140429,32.778702,.221276,.000024,.000000,.000000,.000000,.000000
-5.502000,.224400,.221264,2.125908,32.775627,.224351,.000024,.000000,.000000,.000000,.000000
-5.488000,.227519,.224296,2.111491,32.772507,.227469,.000025,.000000,.000000,.000000,.000000
-5.474000,.230680,.227368,2.097178,32.769344,.230629,.000026,.000000,.000000,.000000,.000000
-5.460000,.233885,.230481,2.082967,32.766140,.233832,.000026,.000000,.000000,.000000,.000000
-5.446000,.237134,.233635,2.068858,32.762894,.237080,.000027,.000000,.000000,.000000,.000000
-5.432000,.240427,.236832,2.054851,32.759598,.240371,.000028,.000000,.000000,.000000,.000000
-5.418000,.243765,.240070,2.040943,32.756260,.243708,.000029,.000000,.000000,.000000,.000000
-5.404000,.247149,.243352,2.027136,32.752880,.247090,.000029,.000000,.000000,.000000,.000000
-5.390000,.250580,.246677,2.013428,32.749454,.250519,.000030,.000000,.000000,.000000,.000000
-5.376000,.254057,.250045,1.999818,32.745975,.253994,.000031,.000000,.000000,.000000,.000000
-5.362000,.257581,.253459,1.986306,32.742451,.257517,.000032,.000000,.000000,.000000,.000000
-5.348000,.261154,.256917,1.972892,32.738880,.261088,.000033,.000000,.000000,.000000,.000000
-5.334000,.264775,.260421,1.959574,32.735260,.264707,.000034,.000000,.000000,.000000,.000000
-5.320000,.268446,.263972,1.946352,32.731590,.268376,.000035,.000000,.000000,.000000,.000000
-5.306000,.272166,.267569,1.933224,32.727875,.272095,.000036,.000000,.000000,.000000,.000000
-5.292000,.275938,.271213,1.920192,32.724098,.275864,.000037,.000000,.000000,.000000,.000000
-5.278000,.279761,.274905,1.907254,32.720276,.279685,.000038,.000000,.000000,.000000,.000000
-5.264000,.283635,.278646,1.894408,32.716404,.283557,.000039,.000000,.000000,.000000,.000000
-5.250000,.287563,.282436,1.881655,32.712482,.287483,.000040,.000000,.000000,.000000,.000000
-5.236000,.291544,.286275,1.868995,32.708500,.291461,.000041,.000000,.000000,.000000,.000000
-5.222000,.295579,.290165,1.856426,32.704460,.295494,.000042,.000000,.000000,.000000,.000000
-5.208000,.299669,.294105,1.843947,32.700375,.299581,.000044,.000000,.000000,.000000,.000000
-5.194000,.303814,.298097,1.831559,32.696228,.303724,.000045,.000000,.000000,.000000,.000000
-5.180000,.308016,.302142,1.819260,32.692028,.307923,.000046,.000000,.000000,.000000,.000000
-5.166000,.312274,.306238,1.807050,32.687775,.312179,.000047,.000000,.000000,.000000,.000000
-5.152000,.316590,.310389,1.794928,32.683460,.316493,.000049,.000000,.000000,.000000,.000000
-5.138000,.320965,.314593,1.782894,32.679085,.320865,.000050,.000000,.000000,.000000,.000000
-5.124000,.325399,.318851,1.770948,32.674656,.325296,.000052,.000000,.000000,.000000,.000000
-5.110000,.329893,.323165,1.759088,32.670162,.329787,.000053,.000000,.000000,.000000,.000000
-5.096000,.334448,.327535,1.747313,32.665604,.334339,.000055,.000000,.000000,.000000,.000000
-5.082000,.339065,.331962,1.735625,32.660992,.338953,.000056,.000000,.000000,.000000,.000000
-5.068000,.343744,.336446,1.724021,32.656311,.343628,.000058,.000000,.000000,.000000,.000000
-5.054000,.348485,.340987,1.712501,32.651569,.348367,.000059,.000000,.000000,.000000,.000000
-5.040000,.353291,.345588,1.701065,32.646774,.353169,.000061,.000000,.000000,.000000,.000000
-5.026000,.358162,.350247,1.689712,32.641895,.358037,.000063,.000000,.000000,.000000,.000000
-5.012000,.363099,.354967,1.678442,32.636967,.362970,.000064,.000000,.000000,.000000,.000000
-4.998000,.368101,.359747,1.667253,32.631969,.367969,.000066,.000000,.000000,.000000,.000000
-4.984000,.373172,.364588,1.656147,32.626896,.373035,.000068,.000000,.000000,.000000,.000000
-4.970000,.378310,.369492,1.645120,32.621758,.378170,.000070,.000000,.000000,.000000,.000000
-4.956000,.383518,.374458,1.634175,32.616550,.383374,.000072,.000000,.000000,.000000,.000000
-4.942000,.388795,.379488,1.623308,32.611279,.388647,.000074,.000000,.000000,.000000,.000000
-4.928000,.394144,.384582,1.612521,32.605934,.393991,.000076,.000000,.000000,.000000,.000000
-4.914000,.399564,.389741,1.601814,32.600513,.399407,.000078,.000000,.000000,.000000,.000000
-4.900000,.405057,.394966,1.591184,32.595024,.404896,.000081,.000000,.000000,.000000,.000000
-4.886000,.410623,.400257,1.580631,32.589458,.410458,.000083,.000000,.000000,.000000,.000000
-4.872000,.416264,.405615,1.570156,32.583824,.416094,.000085,.000000,.000000,.000000,.000000
-4.858000,.421981,.411042,1.559758,32.578106,.421806,.000088,.000000,.000000,.000000,.000000
-4.844000,.427774,.416537,1.549435,32.572315,.427594,.000090,.000000,.000000,.000000,.000000
-4.830000,.433644,.422101,1.539189,32.566448,.433459,.000093,.000000,.000000,.000000,.000000
-4.816000,.439593,.427736,1.529017,32.560501,.439403,.000095,.000000,.000000,.000000,.000000
-4.802000,.445621,.433441,1.518920,32.554482,.445425,.000098,.000000,.000000,.000000,.000000
-4.788000,.451730,.439219,1.508897,32.548378,.451528,.000101,.000000,.000000,.000000,.000000
-4.774000,.457920,.445069,1.498947,32.542183,.457712,.000103,.000000,.000000,.000000,.000000
-4.760000,.464192,.450992,1.489071,32.535912,.463979,.000106,.000000,.000000,.000000,.000000
-4.746000,.470548,.456990,1.479267,32.529560,.470329,.000109,.000000,.000000,.000000,.000000
-4.732000,.476988,.463063,1.469535,32.523125,.476763,.000112,.000000,.000000,.000000,.000000
-4.718000,.483514,.469211,1.459875,32.516602,.483282,.000116,.000000,.000000,.000000,.000000
-4.704000,.490126,.475437,1.450286,32.509991,.489888,.000119,.000000,.000000,.000000,.000000
-4.690000,.496826,.481739,1.440768,32.503296,.496582,.000122,.000000,.000000,.000000,.000000
-4.676000,.503615,.488120,1.431320,32.496510,.503364,.000126,.000000,.000000,.000000,.000000
-4.662000,.510494,.494580,1.421941,32.489635,.510236,.000129,.000000,.000000,.000000,.000000
-4.648000,.517464,.501120,1.412632,32.482666,.517198,.000133,.000000,.000000,.000000,.000000
-4.634000,.524526,.507741,1.403391,32.475613,.524252,.000137,.000000,.000000,.000000,.000000
-4.620000,.531681,.514444,1.394220,32.468460,.531400,.000141,.000000,.000000,.000000,.000000
-4.606000,.538931,.521228,1.385115,32.461212,.538642,.000145,.000000,.000000,.000000,.000000
-4.592000,.546276,.528097,1.376079,32.453873,.545979,.000149,.000000,.000000,.000000,.000000
-4.578000,.553718,.535049,1.367109,32.446438,.553412,.000153,.000000,.000000,.000000,.000000
-4.564000,.561258,.542087,1.358205,32.438900,.560943,.000157,.000000,.000000,.000000,.000000
-4.550000,.568897,.549211,1.349368,32.431263,.568573,.000162,.000000,.000000,.000000,.000000
-4.536000,.576636,.556421,1.340597,32.423527,.576303,.000166,.000000,.000000,.000000,.000000
-4.522000,.584477,.563720,1.331890,32.415691,.584135,.000171,.000000,.000000,.000000,.000000
-4.508000,.592421,.571107,1.323248,32.407757,.592069,.000176,.000000,.000000,.000000,.000000
-4.494000,.600468,.578584,1.314671,32.399712,.600107,.000181,.000000,.000000,.000000,.000000
-4.480000,.608621,.586150,1.306157,32.391560,.608250,.000186,.000000,.000000,.000000,.000000
-4.466000,.616881,.593809,1.297707,32.383312,.616499,.000191,.000000,.000000,.000000,.000000
-4.452000,.625249,.601560,1.289320,32.374947,.624856,.000196,.000000,.000000,.000000,.000000
-4.438000,.633725,.609403,1.280995,32.366474,.633321,.000202,.000000,.000000,.000000,.000000
-4.424000,.642312,.617341,1.272733,32.357895,.641897,.000207,.000000,.000000,.000000,.000000
-4.410000,.651011,.625374,1.264533,32.349205,.650584,.000213,.000000,.000000,.000000,.000000
-4.396000,.659823,.633503,1.256394,32.340401,.659384,.000219,.000000,.000000,.000000,.000000
-4.382000,.668750,.641729,1.248315,32.331478,.668298,.000225,.000000,.000000,.000000,.000000
-4.368000,.677792,.650052,1.240298,32.322441,.677328,.000232,.000000,.000000,.000000,.000000
-4.354000,.686951,.658474,1.232340,32.313290,.686474,.000238,.000000,.000000,.000000,.000000
-4.340000,.696230,.666996,1.224442,32.304016,.695739,.000245,.000000,.000000,.000000,.000000
-4.326000,.705628,.675618,1.216604,32.294621,.705123,.000252,.000000,.000000,.000000,.000000
-4.312000,.715147,.684342,1.208825,32.285107,.714629,.000259,.000000,.000000,.000000,.000000
-4.298000,.724790,.693169,1.201104,32.275482,.724257,.000266,.000000,.000000,.000000,.000000
-4.284000,.734557,.702099,1.193441,32.265717,.734008,.000274,.000000,.000000,.000000,.000000
-4.270000,.744449,.711133,1.185836,32.255833,.743885,.000282,.000000,.000000,.000000,.000000
