";ITEM  RASCH_SCALING_EXAMPLE  Nov 23 2024 08:47"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
1,.760271,1,3500.000,1217.0000,.038205,.9944,-.3290,.9796,-.6990,.000232,.3837,1.0000,71.649,72.091,.3771,.4279,.760270,7090.0,2367.6,"0","R","K","MCQ_OP_01"
2,1.677404,1,3500.000,686.0000,.044905,1.0327,1.2510,1.0812,1.5911,.000627,.2890,1.0000,81.366,81.703,.3266,.3710,1.677400,2959.9,787.58,"0","R","K","MCQ_OP_02"
3,-.065396,1,3500.000,1799.0000,.036647,1.0035,.2510,1.0153,.6910,-.00010,.3869,1.0000,69.191,68.909,.3896,.4481,-.065396,9545.4,3980.1,"0","R","K","MCQ_OP_03"
4,-1.91873,1,3500.000,2923.0000,.047836,.9936,-.2090,.9846,-.2490,-.00077,.3042,1.0000,84.367,84.344,.3002,.3416,-1.91873,2264.0,604.53,"0","R","K","MCQ_OP_04"
5,-.032175,1,3500.000,1775.0000,.036637,.9964,-.2390,.9970,-.1290,-.00009,.3931,1.0000,69.534,68.891,.3899,.4467,-.032175,9570.8,3995.3,"0","R","K","MCQ_OP_05"
6,.873084,1,3500.000,1143.0000,.038725,1.0010,.0610,.9926,-.2290,.000281,.3723,1.0000,73.135,73.071,.3727,.4235,.873083,6489.7,2078.3,"0","R","K","MCQ_OP_06"
7,-1.13697,1,3500.000,2523.0000,.040342,1.0163,.8210,1.0036,.1110,-.00049,.3397,1.0000,75.564,75.891,.3535,.4096,-1.13697,5025.0,1506.3,"0","R","K","MCQ_OP_07"
8,.133910,1,3500.000,1655.0000,.036675,1.0050,.3510,1.0026,.1210,-.00003,.3847,1.0000,69.020,68.934,.3900,.4481,.133909,9510.1,3922.4,"0","R","K","MCQ_OP_08"
9,-.776194,1,3500.000,2296.0000,.038341,.9896,-.5990,.9999,.0110,-.00038,.3786,1.0000,73.135,72.413,.3716,.4253,-.776193,6844.9,2315.5,"0","R","K","MCQ_OP_09"
10,-.806623,1,3500.000,2316.0000,.038479,1.0328,1.8810,1.0263,.8810,-.00037,.3474,1.0000,71.478,72.696,.3703,.4330,-.806622,6685.7,2236.1,"0","R","K","MCQ_OP_10"
11,-2.08423,1,3500.000,2990.0000,.050078,1.0009,.0410,.9780,-.3290,-.00071,.2923,1.0000,85.853,85.995,.2873,.3275,-2.08422,1893.7,503.91,"0","R","K","MCQ_OP_11"
12,.802598,1,3500.000,1189.0000,.038391,1.0048,.2910,1.0240,.8110,.000260,.3692,1.0000,72.049,72.470,.3755,.4280,.802597,6865.1,2256.0,"0","R","K","MCQ_OP_12"
13,-.733934,1,3500.000,2268.0000,.038159,.9807,-1.1490,.9785,-.7490,-.00040,.3869,1.0000,72.564,72.084,.3734,.4254,-.733933,7065.8,2428.8,"0","R","K","MCQ_OP_13"
