";ITEM  RASCH_SCALING_EXAMPLE  Jul 17 2023 19:30"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
1,.761696,1,3500.000,1217.0000,.038203,.9943,-.3290,.9795,-.6990,-.00016,.3837,1.0000,71.649,72.089,.3769,.4279,.761695,7091.9,2369.8,"0","R","K","MCQ_OP_01"
2,1.678361,1,3500.000,686.0000,.044903,1.0326,1.2510,1.0808,1.5811,.000537,.2890,1.0000,81.366,81.703,.3265,.3710,1.678357,2959.7,788.52,"0","R","K","MCQ_OP_02"
3,-.063428,1,3500.000,1799.0000,.036643,1.0033,.2310,1.0150,.6710,-.00086,.3869,1.0000,69.191,68.899,.3894,.4481,-.063428,9555.2,3985.3,"0","R","K","MCQ_OP_03"
4,-1.91566,1,3500.000,2923.0000,.047812,.9926,-.2390,.9832,-.2790,-.00231,.3042,1.0000,84.367,84.327,.3002,.3416,-1.91565,2267.7,606.18,"0","R","K","MCQ_OP_04"
5,-.030235,1,3500.000,1775.0000,.036632,.9962,-.2590,.9967,-.1390,-.00082,.3931,1.0000,69.534,68.881,.3897,.4467,-.030235,9580.5,4000.4,"0","R","K","MCQ_OP_05"
6,.874451,1,3500.000,1143.0000,.038723,1.0009,.0510,.9924,-.2390,-.00006,.3723,1.0000,73.135,73.068,.3725,.4235,.874450,6490.9,2080.3,"0","R","K","MCQ_OP_06"
7,-1.13426,1,3500.000,2523.0000,.040330,1.0157,.7910,1.0027,.0910,-.00179,.3397,1.0000,75.564,75.872,.3534,.4096,-1.13426,5032.9,1510.0,"0","R","K","MCQ_OP_07"
8,.135746,1,3500.000,1655.0000,.036671,1.0049,.3410,1.0024,.1110,-.00067,.3847,1.0000,69.020,68.925,.3897,.4481,.135745,9518.1,3926.7,"0","R","K","MCQ_OP_08"
9,-.773742,1,3500.000,2296.0000,.038332,.9892,-.6290,.9992,-.0190,-.00146,.3786,1.0000,73.135,72.396,.3714,.4253,-.773741,6854.9,2320.6,"0","R","K","MCQ_OP_09"
10,-.804141,1,3500.000,2316.0000,.038469,1.0323,1.8610,1.0256,.8610,-.00151,.3474,1.0000,71.478,72.679,.3701,.4330,-.804140,6695.7,2241.1,"0","R","K","MCQ_OP_10"
11,-2.08098,1,3500.000,2990.0000,.050051,.9998,.0110,.9764,-.3590,-.00234,.2923,1.0000,85.853,85.978,.2873,.3275,-2.08097,1897.0,505.34,"0","R","K","MCQ_OP_11"
12,.804005,1,3500.000,1189.0000,.038389,1.0047,.2810,1.0238,.8010,-.00012,.3692,1.0000,72.049,72.467,.3753,.4280,.804004,6866.5,2258.0,"0","R","K","MCQ_OP_12"
13,-.731537,1,3500.000,2268.0000,.038151,.9803,-1.1690,.9779,-.7690,-.00142,.3869,1.0000,72.564,72.068,.3732,.4254,-.731536,7075.7,2434.0,"0","R","K","MCQ_OP_13"
14,.882184,1,3500.000,1138.0000,.038761,.9962,-.2090,1.0111,.3710,-.00006,.3726,1.0000,73.335,73.132,.3722,.4221,.882183,6449.7,2061.3,"0","R","K","MCQ_OP_14"
15,-.012262,1,3500.000,1762.0000,.036629,.9818,-1.2590,.9771,-1.0190,-.00080,.4062,1.0000,69.448,68.869,.3897,.4435,-.012262,9589.0,4004.4,"0","R","K","MCQ_OP_15"
16,-.657114,1,3500.000,2218.0000,.037857,1.0017,.1110,1.0325,1.1810,-.00136,.3703,1.0000,71.363,71.482,.3761,.4334,-.657113,7461.0,2640.8,"0","R","K","MCQ_OP_16"
17,-.042680,1,3500.000,1784.0000,.036636,1.0033,.2410,.9995,-.0190,-.00085,.3872,1.0000,68.934,68.888,.3896,.4482,-.042680,9572.4,3995.9,"0","R","K","MCQ_OP_17"
18,-1.39415,1,3500.000,2671.0000,.042303,1.0008,.0410,1.0220,.5310,-.00194,.3318,1.0000,78.451,78.640,.3374,.3877,-1.39415,3910.2,1110.1,"0","R","K","MCQ_OP_18"
19,-.830157,1,3500.000,2333.0000,.038591,.9957,-.2390,.9894,-.3390,-.00153,.3722,1.0000,72.592,72.917,.3689,.4239,-.830156,6559.4,2174.6,"0","R","K","MCQ_OP_19"
20,.163473,1,3500.000,1635.0000,.036693,1.0013,.0910,.9885,-.4990,-.00068,.3896,1.0000,67.476,68.976,.3896,.4471,.163473,9477.4,3891.2,"0","R","K","MCQ_OP_20"
21,-.231375,1,3500.000,1920.0000,.036787,.9889,-.7490,.9756,-1.0590,-.00102,.3981,1.0000,68.877,69.170,.3875,.4431,-.231374,9244.1,3767.9,"0","R","K","MCQ_OP_21"
22,.234351,1,3500.000,1584.0000,.036766,.9941,-.3990,1.0005,.0310,-.00059,.3943,1.0000,69.163,69.144,.3891,.4446,.234351,9335.7,3774.4,"0","R","K","MCQ_OP_22"
23,1.066362,1,3500.000,1022.0000,.039790,.9893,-.5490,.9767,-.6590,.000098,.3735,1.0000,75.021,74.906,.3637,.4098,1.066361,5491.3,1652.8,"0","R","K","MCQ_OP_23"
24,1.288043,1,3500.000,891.0000,.041327,1.0105,.5010,1.0359,.9010,.000275,.3389,1.0000,77.022,77.262,.3517,.3988,1.288041,4439.5,1261.7,"0","R","K","MCQ_OP_24"
25,-.322353,1,3500.000,1985.0000,.036930,1.0180,1.2010,1.0216,.9110,-.00108,.3685,1.0000,69.077,69.534,.3859,.4479,-.322352,8961.1,3569.9,"0","R","K","MCQ_OP_25"
26,-1.45394,1,3500.000,2703.0000,.042826,.9974,-.0990,.9964,-.0690,-.00198,.3356,1.0000,79.308,79.314,.3335,.3823,-1.45393,3681.0,1035.5,"0","R","K","MCQ_OP_26"
27,-.967690,1,3500.000,2421.0000,.039305,1.0087,.4810,1.0593,1.7811,-.00159,.3501,1.0000,73.964,74.193,.3624,.4189,-.967689,5848.7,1847.7,"0","R","K","MCQ_OP_27"
28,1.502780,1,3500.000,774.0000,.043149,1.0096,.4110,1.0089,.2110,.000418,.3311,1.0000,79.423,79.722,.3384,.3817,1.502777,3564.5,972.64,"0","R","K","MCQ_OP_28"
29,.483694,1,3500.000,1407.0000,.037247,.9962,-.2390,1.0196,.7810,-.00040,.3863,1.0000,70.935,70.188,.3851,.4393,.483693,8471.6,3157.1,"0","R","K","MCQ_OP_29"
30,1.017782,1,3500.000,1052.0000,.039497,1.0426,2.2610,1.0880,2.5411,.000054,.3257,1.0000,73.049,74.394,.3661,.4238,1.017781,5738.6,1752.9,"0","R","K","MCQ_OP_30"
31,.111810,1,3500.000,3342.0000,.025706,.9567,-2.1690,.9447,-2.3791,-.00063,.5296,1.0000,53.958,53.129,.5031,.6238,.111810,4893.1,3580.2,"0","R","K","TEI_OP_01"
32,.505953,1,3500.000,2701.0000,.025060,1.0020,.1010,.9894,-.3490,-.00005,.5111,1.0000,53.730,53.383,.5107,.6548,.505953,4534.1,2261.2,"0","R","K","TEI_OP_02"
33,1.935008,1,3500.000,3414.0000,.019334,.8937,-3.9491,.9030,-2.9391,.002229,.5915,1.0000,52.472,50.331,.5588,.8016,1.935008,2577.0,1730.2,"0","R","K","SCR_OP_01"
34,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_01"
35,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_02"
36,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_03"
37,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_04"
38,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_05"
39,9999.00,-3,.0000,.0000,.000000,1.0000,.0000,1.0000,.0000,.000000,.0000,1.0000,.0000,.0000,.0000,.0000,.000000,.00,.00,"0","R","K","MCQ_FT_06"
