;ITEM  RASCH_SCALING_EXAMPLE  Jul 17 2023 19:30,,,,,,,,,,,,,,,,,,,,,,,
ENTRY,MEASURE,STATUS,COUNT,SCORE,MODLSE,IN.MSQ,IN.ZSTD,OUT.MSQ,OUT.ZSTD,DISPLACE,PBSX,WEIGHT,OBSMATCH,EXPMATCH,PBSX-E,RMSR,WMLE,INDF,OUTDF,GROUPING,MODEL,RECODE,NAME
1,0.761696,1,3500,1217,0.038203,0.9943,-0.329,0.9795,-0.699,-0.00016,0.3837,1,71.649,72.089,0.3769,0.4279,0.761695,7091.9,2369.8,0,R,K,MCQ_OP_01
2,1.678361,1,3500,686,0.044903,1.0326,1.251,1.0808,1.5811,0.000537,0.289,1,81.366,81.703,0.3265,0.371,1.678357,2959.7,788.52,0,R,K,MCQ_OP_02
3,-0.063428,1,3500,1799,0.036643,1.0033,0.231,1.015,0.671,-0.00086,0.3869,1,69.191,68.899,0.3894,0.4481,-0.063428,9555.2,3985.3,0,R,K,MCQ_OP_03
4,-1.91566,1,3500,2923,0.047812,0.9926,-0.239,0.9832,-0.279,-0.00231,0.3042,1,84.367,84.327,0.3002,0.3416,-1.91565,2267.7,606.18,0,R,K,MCQ_OP_04
5,-0.030235,1,3500,1775,0.036632,0.9962,-0.259,0.9967,-0.139,-0.00082,0.3931,1,69.534,68.881,0.3897,0.4467,-0.030235,9580.5,4000.4,0,R,K,MCQ_OP_05
6,0.874451,1,3500,1143,0.038723,1.0009,0.051,0.9924,-0.239,-0.00006,0.3723,1,73.135,73.068,0.3725,0.4235,0.87445,6490.9,2080.3,0,R,K,MCQ_OP_06
7,-1.13426,1,3500,2523,0.04033,1.0157,0.791,1.0027,0.091,-0.00179,0.3397,1,75.564,75.872,0.3534,0.4096,-1.13426,5032.9,1510,0,R,K,MCQ_OP_07
8,0.135746,1,3500,1655,0.036671,1.0049,0.341,1.0024,0.111,-0.00067,0.3847,1,69.02,68.925,0.3897,0.4481,0.135745,9518.1,3926.7,0,R,K,MCQ_OP_08
9,-0.773742,1,3500,2296,0.038332,0.9892,-0.629,0.9992,-0.019,-0.00146,0.3786,1,73.135,72.396,0.3714,0.4253,-0.773741,6854.9,2320.6,0,R,K,MCQ_OP_09
10,-0.804141,1,3500,2316,0.038469,1.0323,1.861,1.0256,0.861,-0.00151,0.3474,1,71.478,72.679,0.3701,0.433,-0.80414,6695.7,2241.1,0,R,K,MCQ_OP_10
